QuestionType,QuestionText,PointsPossible,Answer1,Answer2,Answer3,Answer4,CorrectAnswer,Explanation
MC,"Which of the following best describes the FEV1 dataset used in class?",4,"Simulated data for educational purposes","Real lung function measurements from 13 adolescents with asthma","Government survey data from the 1980s","Birth weight data from US hospitals",2,"The FEV1 data comes from Pagano & Gauvreau pp. 38-39"
MC,"In the childhood injury deaths dataset, which cause accounts for the highest percentage of deaths?",4,"Drowning (14%)","Fire (12%)","Motor Vehicle (48%)","Homicide (7%)",3,"Motor vehicle accidents account for 48% of childhood injury deaths"
MC,"What type of variable is gender in the FEV1 dataset?",4,"Quantitative continuous","Quantitative discrete","Qualitative nominal","Qualitative ordinal",3,"Gender is a categorical variable with no natural ordering"
MC,"Which measure of central tendency is most appropriate for highly skewed data?",4,"Mean","Median","Mode","Range",2,"Median is less affected by extreme values in skewed distributions"
MC,"What is the primary advantage of using a box plot over a histogram?",4,"Shows exact data values","Better for small sample sizes","Displays outliers and quartiles clearly","Requires less computational power",3,"Box plots clearly show quartiles, median, and outliers"
MC,"In epidemiology, what does an SMR > 100 indicate?",4,"Lower mortality than expected","Higher mortality than expected","Average mortality rate","Invalid calculation",2,"SMR > 100 means observed mortality exceeds expected mortality"
MC,"Which R function would you use to create a frequency table?",4,"summary()","table()","mean()","hist()",2,"The table() function creates frequency tables in R"
MC,"What is the main difference between a bar chart and a histogram?",4,"Bar charts are for categorical data, histograms for continuous data","Bar charts show frequencies, histograms show proportions","Bar charts are vertical, histograms are horizontal","There is no difference",1,"Bar charts display categorical data, histograms display continuous data"
MC,"According to the slides, what is the Golden Rule for using AI in biostatistics?",4,"Always use AI for complex calculations","Never use AI for homework assignments","AI should enhance your learning, not replace it","Only use AI for data visualization",3,"AI should supplement learning but not replace understanding"
MC,"Which of the following is NOT mentioned as an AI pitfall in statistics?",4,"Outdated information in training data","Context confusion for biomedical data","Assumption violations not being checked","Requiring expensive software licenses",4,"Cost was not mentioned as an AI pitfall in the slides"
Essay,"Data Types and Examples: Classify each variable and justify: a) Blood pressure reading b) Pain rating 1-10 c) Cancer type d) Hospital visits per year e) Satisfaction rating",10,"","","","",,"Expected: a) Quantitative continuous, b) Discrete/ordinal, c) Qualitative nominal, d) Quantitative discrete, e) Qualitative ordinal"
Essay,"The FEV1 data has mean=2.88 and median=2.80. What does this suggest about distribution shape and why might this occur in lung function data?",10,"","","","",,"Expected: Right-skewed distribution (mean>median); some patients may have severely reduced lung function"
Essay,"For comparing recovery times across 3 treatments, what visualization is most appropriate and why?",10,"","","","",,"Expected: Box plots or grouped histograms to compare distributions across groups"
Essay,"Using FEV1 data, write R code to: a) Calculate mean FEV1 by gender b) Create summary statistics c) Count male/female subjects",15,"","","","",,"Expected code: aggregate(), summary(), table() functions"
Essay,"Using injury data, write R code to: a) Create bar chart of injury causes b) Add labels c) Calculate motor vehicle percentage",15,"","","","",,"Expected: table(), barplot(), prop.table() functions; 48% result"
Essay,"Describe an AI scenario in biostatistics with necessary human oversight. Provide concrete health example.",5,"","","","",,"Look for specific scenario, AI capabilities/limitations, oversight considerations"
